place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJMeYSyjS7woAR41Xori83m18,Adult Love Boutique,,False,194,,https://www.adultloveboutiquesm.com/%3Futm_source%3Dgoogle%26utm_medium%3Dgmb%26utm_campaign%3Dseo,Adult Love Boutique (Sahibi),https://www.google.com/maps/contrib/100637953385295226429,https://lh5.googleusercontent.com/p/AF1QipMrPz3I80_FObX_4cmu3uQrtdgRJophQhJ8EvJR=w408-h544-k-no,Erotik Esya Magazasi,"Erotik Esya Magazasi, Hediyelik esya dukkani, Ic Camasiri Magazasi",4.9,09:00-01:00,Open All Days,+1 310-393-3123,"Adult Love Boutique, 1319 Santa Monica Blvd, Santa Monica, CA 90404, Amerika Birlesik Devletleri",,https://www.google.com/maps/place/Adult+Love+Boutique/data=!4m7!3m6!1s0x80c2bb34ca12e631:0x5f9b372faee855e3!8m2!3d34.0238536!4d-118.4861956!16s%2Fg%2F1td4876h!19sChIJMeYSyjS7woAR41Xori83m18?authuser=0&hl=tr&rclk=1
ChIJUb4eGq2wwoAR_WD8swwHUxw,Lovers,,False,192,"Name: Bras n Things Culver City
link: https://www.google.com/maps/search/Bras+n+Things+Culver+City/@33.9862323,-118.3922257?authuser=0&hl=tr&entry=ttu
Reviews: 3 reviews

Name: Amor Lingerie Sex Shop
link: https://www.google.com/maps/search/Amor+Lingerie+Sex+Shop/@34.042302,-118.30834200000001?authuser=0&hl=tr&entry=ttu
Reviews: 51 reviews

Name: Adult Love Boutique
link: https://www.google.com/maps/search/Adult+Love+Boutique/@34.023853599999995,-118.48619559999999?authuser=0&hl=tr&entry=ttu
Reviews: 192 reviews

Name: Cupid's Closet LAX Adult Store & Sex Shop
link: https://www.google.com/maps/search/Cupid%27s+Closet+LAX+Adult+Store+%26+Sex+Shop/@33.9618484,-118.4206687?authuser=0&hl=tr&entry=ttu
Reviews: 91 reviews

Name: Victoria's Secret
link: https://www.google.com/maps/search/Victoria%27s+Secret/@33.985886,-118.392872?authuser=0&hl=tr&entry=ttu
Reviews: 792 reviews",https://locations.loversstores.com/ca/culver-city/5901-s-sepulveda-blvd/,Lovers (Sahibi),https://www.google.com/maps/contrib/105989124669336698820,https://lh5.googleusercontent.com/p/AF1QipOxhwMr3WGkxQWcCU2nt7hS7GocsAWLG80wGZJp=w408-h725-k-no,Ic Camasiri Magazasi,Ic Camasiri Magazasi,4.7,11:00-21:00,Open All Days,+1 310-391-1346,"Lovers, 5901 Sepulveda Blvd, Culver City, CA 90230, Amerika Birlesik Devletleri",,https://www.google.com/maps/place/Lovers/data=!4m7!3m6!1s0x80c2b0ad1a1ebe51:0x1c53070cb3fc60fd!8m2!3d33.98644!4d-118.396035!16s%2Fg%2F1vr1wx40!19sChIJUb4eGq2wwoAR_WD8swwHUxw?authuser=0&hl=tr&rclk=1
ChIJvzsYu1Uqw4ARxMmRliqRwWw,Stan's Adult Store,,False,191,,http://romanceattack.biz/,Stan's Adult Store (Sahibi),https://www.google.com/maps/contrib/111665527530289485499,https://lh5.googleusercontent.com/p/AF1QipOR_pMIhReKAHgR_bU-SJBQ6KOlD2rMy5gUPfE8=w408-h306-k-no,Erotik Esya Magazasi,Erotik Esya Magazasi,4.5,24 saat acik,Open All Days,+1 626-854-3575,"Stan's Adult Store, 19266 E Walnut Dr N, Rowland Heights, CA 91748, Amerika Birlesik Devletleri",,https://www.google.com/maps/place/Stan%27s+Adult+Store/data=!4m7!3m6!1s0x80c32a55bb183bbf:0x6cc1912a9691c9c4!8m2!3d33.9949272!4d-117.8818987!16s%2Fg%2F1td6yczt!19sChIJvzsYu1Uqw4ARxMmRliqRwWw?authuser=0&hl=tr&rclk=1
ChIJ4WXtd5_HwoARQk0pFUuxwkg,Broadway Erotic Store,,False,170,,http://broadwayerotic.com/,Broadway Erotic Store (Sahibi),https://www.google.com/maps/contrib/114348951113914057659,https://lh5.googleusercontent.com/p/AF1QipPtOkWqPpraNq-75SwilGFH-oh8DTjVG51VQ61C=w408-h477-k-no,Erotik Esya Magazasi,Erotik Esya Magazasi,5,10:00-18:00,Open All Days,+1 213-622-2825,"Broadway Erotic Store, 525 S Broadway, Los Angeles, CA 90013, Amerika Birlesik Devletleri",,https://www.google.com/maps/place/Broadway+Erotic+Store/data=!4m7!3m6!1s0x80c2c79f77ed65e1:0x48c2b14b15294d42!8m2!3d34.0476737!4d-118.2516002!16s%2Fg%2F11hpdvzjh9!19sChIJ4WXtd5_HwoARQk0pFUuxwkg?authuser=0&hl=tr&rclk=1
ChIJ447xGp4t3YARnIz5JCHqMuw,Lovers,,False,167,"Name: Bras N Things Los Cerritos
link: https://www.google.com/maps/search/Bras+N+Things+Los+Cerritos/@33.8620386,-118.09345569999999?authuser=0&hl=tr&entry=ttu
Reviews: 4 reviews

Name: Love Stuff Adult Superstore
link: https://www.google.com/maps/search/Love+Stuff+Adult+Superstore/@33.7604257,-118.1356349?authuser=0&hl=tr&entry=ttu
Reviews: 13 reviews

Name: Intimissimi
link: https://www.google.com/maps/search/Intimissimi/@33.8629026,-118.0948085?authuser=0&hl=tr&entry=ttu
Reviews: 9 reviews

Name: Romantix
link: https://www.google.com/maps/search/Romantix/@33.76751960000001,-118.1712136?authuser=0&hl=tr&entry=ttu
Reviews: 34 reviews

Name: Purple Onion Exotic Lingerie
link: https://www.google.com/maps/search/Purple+Onion+Exotic+Lingerie/@33.8325671,-118.09826899999999?authuser=0&hl=tr&entry=ttu
Reviews: 36 reviews",https://locations.loversstores.com/ca/cerritos/11332-south-st/,Lovers (Sahibi),https://www.google.com/maps/contrib/109186100234267090756,https://lh5.googleusercontent.com/p/AF1QipNlRsiR0CJZFeYkHZn7BqSaGiHEMixIb2vZr62y=w408-h340-k-no,Ic Camasiri Magazasi,Ic Camasiri Magazasi,4.5,10:00-22:00,Open All Days,+1 562-402-3747,"Lovers, 11332 South St, Cerritos, CA 90703, Amerika Birlesik Devletleri",,https://www.google.com/maps/place/Lovers/data=!4m7!3m6!1s0x80dd2d9e1af18ee3:0xec32ea2124f98c9c!8m2!3d33.8570236!4d-118.0923391!16s%2Fg%2F1tfv5fd9!19sChIJ447xGp4t3YARnIz5JCHqMuw?authuser=0&hl=tr&rclk=1
ChIJcYdluQ7V3IARA0SULu_SEk0,Lovers,,False,152,"Name: Honey Birdette
link: https://www.google.com/maps/search/Honey+Birdette/@33.9153422,-117.88645090000001?authuser=0&hl=tr&entry=ttu
Reviews: 4 reviews

Name: Romance Boutique Secrets
link: https://www.google.com/maps/search/Romance+Boutique+Secrets/@34.0674711,-117.69048649999999?authuser=0&hl=tr&entry=ttu
Reviews: 147 reviews

Name: Victoria's Secret & PINK by Victoria's Secret
link: https://www.google.com/maps/search/Victoria%27s+Secret+%26+PINK+by+Victoria%27s+Secret/@33.9155363,-117.88573419999999?authuser=0&hl=tr&entry=ttu
Reviews: 382 reviews

Name: The Love Store
link: https://www.google.com/maps/search/The+Love+Store/@33.713280399999995,-117.88576420000001?authuser=0&hl=tr&entry=ttu
Reviews: 15 reviews

Name: SOMA
link: https://www.google.com/maps/search/SOMA/@33.9159937,-117.88748090000001?authuser=0&hl=tr&entry=ttu
Reviews: 7 reviews",https://locations.loversstores.com/ca/brea/690-e-imperial-hwy/,Lovers (Sahibi),https://www.google.com/maps/contrib/111949690339988395005,https://lh5.googleusercontent.com/p/AF1QipMw8Thws6NtvoWtGmYHGRF-8BqHeiYajoLfD5tv=w408-h544-k-no,Ic Camasiri Magazasi,Ic Camasiri Magazasi,4.7,11:00-21:00,Open All Days,+1 714-529-7364,"Lovers, 690 E Imperial Hwy, Brea, CA 92821, Amerika Birlesik Devletleri",,https://www.google.com/maps/place/Lovers/data=!4m7!3m6!1s0x80dcd50eb9658771:0x4d12d2ef2e944403!8m2!3d33.914064!4d-117.894484!16s%2Fg%2F1tmxwx1g!19sChIJcYdluQ7V3IARA0SULu_SEk0?authuser=0&hl=tr&rclk=1
ChIJPWE2v1VnlIAR20RYegluico,Suzie's Adult Superstore,,False,151,,http://suzies.com/,Suzie's Adult Superstore (Sahibi),https://www.google.com/maps/contrib/117740933810232504482,https://lh5.googleusercontent.com/p/AF1QipP8vUJVJu_ux5qO0feDoklk5VudvLb_f8h_PDc0=w408-h306-k-no,Erotik Esya Magazasi,Erotik Esya Magazasi,4.7,10:00-02:00,Open All Days,+1 559-497-9613,"Suzie's Adult Superstore, 1267 N Blackstone Ave, Fresno, CA 93703, Amerika Birlesik Devletleri",,https://www.google.com/maps/place/Suzie%27s+Adult+Superstore/data=!4m7!3m6!1s0x80946755bf36613d:0xca896e097a5844db!8m2!3d36.7590151!4d-119.7908826!16s%2Fg%2F1tf8tblj!19sChIJPWE2v1VnlIAR20RYegluico?authuser=0&hl=tr&rclk=1
ChIJx-hNOf9CkYARdsefT_j4LCM,Golden Dreams,,False,136,,https://goldendreams1.com/,Golden Dreams (Sahibi),https://www.google.com/maps/contrib/108239114573357556120,https://lh5.googleusercontent.com/p/AF1QipM3RgG2yu3XmMU-2qv5RuQb5BqFRX434dkLXYm-=w408-h408-k-no,Erotik Esya Magazasi,"Erotik Esya Magazasi, Ic Camasiri Magazasi, Hediyelik esya magazasi",4.6,11:00-21:30,Open All Days,+1 209-233-9180,"Golden Dreams, 1626 Martin Luther King Jr Way, Merced, CA 95340, Amerika Birlesik Devletleri",,https://www.google.com/maps/place/Golden+Dreams/data=!4m7!3m6!1s0x809142ff394de8c7:0x232cf8f84f9fc776!8m2!3d37.2998676!4d-120.4803976!16s%2Fg%2F1q5gpz98j!19sChIJx-hNOf9CkYARdsefT_j4LCM?authuser=0&hl=tr&rclk=1
ChIJT-8YjMcMkIARRdGW7RcSML0,Suzies Adult Superstore,,False,133,,http://suzies.com/,Suzies Adult Superstore (Sahibi),https://www.google.com/maps/contrib/101658525627851669936,https://lh5.googleusercontent.com/p/AF1QipMsSx6EQNM83c-nGRRdKnNFmGHvCe91A98hVPk7=w408-h338-k-no,Erotik Esya Magazasi,"Erotik Esya Magazasi, DVD Magazasi, Ic Camasiri Magazasi, Hediyelik esya magazasi",4.8,10:00-00:00,Open All Days,+1 209-952-6900,"Suzies Adult Superstore, 3126 E Hammer Ln, Stockton, CA 95212, Amerika Birlesik Devletleri",,https://www.google.com/maps/place/Suzies+Adult+Superstore/data=!4m7!3m6!1s0x80900cc78c18ef4f:0xbd301217ed96d145!8m2!3d38.0204898!4d-121.2758514!16s%2Fg%2F1tk8nv9_!19sChIJT-8YjMcMkIARRdGW7RcSML0?authuser=0&hl=tr&rclk=1
ChIJG5xHztDemoARRsMg1AGTzAY,Suzie's Adult Superstore,,False,108,,http://suzies.com/,Suzie's Adult Superstore (Sahibi),https://www.google.com/maps/contrib/111845084950375178224,https://lh5.googleusercontent.com/p/AF1QipMc1ch61GDWoOsM5NTgNzZDLXOCbVoJQ2HJnRJq=w466-h240-k-no,Erotik Esya Magazasi,"Erotik Esya Magazasi, DVD Magazasi, Ic Camasiri Magazasi, Hediyelik esya magazasi, Magaza",4.8,10:00-02:00,Open All Days,+1 916-332-1051,"Suzie's Adult Superstore, 5138 Auburn Blvd, Sacramento, CA 95841, Amerika Birlesik Devletleri",,https://www.google.com/maps/place/Suzie%27s+Adult+Superstore/data=!4m7!3m6!1s0x809aded0ce479c1b:0x6cc9301d420c346!8m2!3d38.6621226!4d-121.3447693!16s%2Fg%2F11h1skvsw!19sChIJG5xHztDemoARRsMg1AGTzAY?authuser=0&hl=tr&rclk=1
