2023-12-20 13:53:13,683 - INFO - No candidates found for query: https://www.google.com/maps/search/Kenaro%C4%9Flu+Avukatl%C4%B1k+B%C3%BCrosu/@41.0793238,29.011331100000003?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:13,692 - INFO - No candidates found for query: https://www.google.com/maps/search/Marc%27as+Law/@40.9778213,28.7942252?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:13,718 - INFO - No candidates found for query: https://www.google.com/maps/search/FUTURE+STUDIES/@41.0199445,28.6510845?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:13,739 - INFO - No candidates found for query: https://www.google.com/maps/search/Radolar+Group/@41.102725799999995,28.9822116?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:13,746 - INFO - No candidates found for query: https://www.google.com/maps/search/Kurtulus+%26+Partners/@None,None?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:14,116 - INFO - No candidates found for query: https://www.google.com/maps/search/NG+Legal/@41.079848500000004,29.0067924?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:14,177 - INFO - No candidates found for query: https://www.google.com/maps/search/G%C3%BCro%C4%9Flu+Grup/@41.0333592,28.866120399999996?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:14,246 - INFO - No candidates found for query: https://www.google.com/maps/search/Aybek+Hukuk+B%C3%BCrosu/@41.0128729,28.643967800000002?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:14,351 - INFO - No candidates found for query: https://www.google.com/maps/search/M%C4%B1hc%C4%B1+Hukuk+B%C3%BCrosu+%7C+%C4%B0stanbul+Avukat+-+Bo%C5%9Fanma+Avukat%C4%B1+-+Ceza+Avukat%C4%B1+-+%C4%B0%C5%9F+Hukuku+Avukat%C4%B1+-+%C4%B0cra+Avukat%C4%B1/@41.0646272,28.9961945?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:14,473 - INFO - No candidates found for query: https://www.google.com/maps/search/Alparslan+Hukuk+B%C3%BCrosu/@40.9759534,29.051507700000002?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:14,916 - INFO - No candidates found for query: https://www.google.com/maps/search/Ko%C3%A7+Hukuk+Dan%C4%B1%C5%9Fmanl%C4%B1k+B%C3%BCrosu/@40.9927782,28.8696524?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:14,979 - INFO - No candidates found for query: https://www.google.com/maps/search/AGC+HUKUK+B%C3%9CROSU+%26+LAW+FIRM+%28Arabuluculuk+Merkezi%29/@41.0640752,28.808697900000002?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:14,995 - INFO - No candidates found for query: https://www.google.com/maps/search/Ecmel+Hukuk+B%C3%BCrosu/@41.0596622,28.9701696?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:15,003 - INFO - No candidates found for query: https://www.google.com/maps/search/Avukat+Berk+BAHADIR+Hukuk+B%C3%BCrosu/@41.1087372,29.1323421?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:15,519 - INFO - No candidates found for query: https://www.google.com/maps/search/Ayd%C4%B1n+Hukuk+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k+Avukat+Arabulucu+Asl%C4%B1+Ayd%C4%B1n+Erdo%C4%9Fan/@40.994287799999995,29.1240456?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:15,725 - INFO - No candidates found for query: https://www.google.com/maps/search/%C3%87akar+Hukuk+%26+Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.0061794,29.0564246?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:15,742 - INFO - No candidates found for query: https://www.google.com/maps/search/Ak+Hukuk+B%C3%BCrosu/@40.9960732,28.8714452?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:16,227 - INFO - No candidates found for query: https://www.google.com/maps/search/Ercin+Bilgin+Bektasoglu+Hukuk/@41.0430407,28.9863358?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:16,296 - INFO - No candidates found for query: https://www.google.com/maps/search/Av.+G%C3%BClbin+Demirba%C4%9F+Y%C4%B1ld%C4%B1r%C4%B1m/@41.0476606,28.8206377?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:16,752 - INFO - No candidates found for query: https://www.google.com/maps/search/Avukat+H%C3%BCseyin+Y%C4%B1ld%C4%B1r%C4%B1m/@41.024045099999995,29.090987199999997?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:16,790 - INFO - No candidates found for query: https://www.google.com/maps/search/Uyber+Hukuk+B%C3%BCrosu/@41.006755999999996,29.036871?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:16,827 - INFO - No candidates found for query: https://www.google.com/maps/search/Varol+%26+Partners+Hukuk+B%C3%BCrosu+-+Law+Firm/@41.0718629,28.693002600000003?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:16,850 - INFO - No candidates found for query: https://www.google.com/maps/search/Dirik+Hukuk+Ve+Arabuluculuk+B%C3%BCrosu/@40.973934,29.1028506?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:17,568 - INFO - No candidates found for query: https://www.google.com/maps/search/Y%C4%B1lmaz+Hukuk+%26+Arabuluculuk+B%C3%BCrosu/@40.9110668,29.1809077?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:17,584 - INFO - No candidates found for query: https://www.google.com/maps/search/URULU+Hukuk+Ve+Dan%C4%B1%C5%9Fmanl%C4%B1k+B%C3%BCrosu/@41.0773022,28.972209699999997?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:17,842 - INFO - No candidates found for query: https://www.google.com/maps/search/YILDIRIM%27ER+Hukuk+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k+B%C3%BCrosu/@41.0042951,29.0541304?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
