place_id,name,main_category,rating,reviews,website,phone,address,link,Location,is_spending_on_ads,competitors,extracted_domain,emails
ChIJZ0jrIyTHyhQR5I8eaKHPsJM,iSTANBUL Av. Ali Mert Gencoglu Hukuk&Danismanlik,Hukuk Burosu,4.3,6.0,https://www.alimertgencoglu.av.tr/,0542 460 99 98,"Ornek, iSTANBUL Av. Ali Mert Gencoglu Hukuk&Danismanlik, Ercument Batanay Sk. Dumankaya Ikon Evleri Sitesi A2 Blok No:318, 34704 Atasehir/Istanbul",https://www.google.com/maps/place/iSTANBUL+Av.+Ali+Mert+Gen%C3%A7o%C4%9Flu+Hukuk%26Dan%C4%B1%C5%9Fmanl%C4%B1k/data=!4m7!3m6!1s0x14cac72423eb4867:0x93b0cfa1681e8fe4!8m2!3d40.9930632!4d29.0861144!16s%2Fg%2F11s5ht7kbq!19sChIJZ0jrIyTHyhQR5I8eaKHPsJM?authuser=0&hl=tr&rclk=1, Ercument Batanay Sk.,TRUE,"Name: AVMADA HUKUK & DANISMANLIK
link: https://www.google.com/maps/search/AVMADA+HUKUK+%26+DANI%C5%9EMANLIK/@40.9955208,29.0783977?authuser=0&hl=tr&entry=ttu
Reviews: 5 reviews

Name: Demiral Hukuk & Danismanlik
link: https://www.google.com/maps/search/Demiral+Hukuk+%26+Dan%C4%B1%C5%9Fmanl%C4%B1k/@40.992563499999996,29.122253099999995?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: Asri Hukuk ve Danismanlik Burosu
link: https://www.google.com/maps/search/Asri+Hukuk+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k+B%C3%BCrosu/@40.996154,29.074596899999996?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: Ceylan Mahmutoglu
link: https://www.google.com/maps/search/Ceylan+Mahmuto%C4%9Flu/@40.968271,29.066402399999998?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: Gencoglu Hukuk Burosu / Gencoglu Law Firm
link: https://www.google.com/maps/search/Gen%C3%A7o%C4%9Flu+Hukuk+B%C3%BCrosu+%2F+Gen%C3%A7o%C4%9Flu+Law+Firm/@41.026742,28.975266?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews",www.alimertgencoglu.av.tr,iletisim@alimertgencoglu.av.tr
ChIJF76EOQ7HyhQROeqHkgJoNDw,DYM Hukuk,Hukuk Burosu,5.0,3.0,https://dymhukuk.com/,0543 738 68 58,"Cevizli, DYM Hukuk, Mustafa Kemal Cd. Hukukcular Towers No:66 B Blok D:16, 34740 Kartal/Istanbul",https://www.google.com/maps/place/DYM+Hukuk/data=!4m7!3m6!1s0x14cac70e3984be17:0x3c3468029287ea39!8m2!3d40.9114723!4d29.1807041!16s%2Fg%2F11twc4v0j8!19sChIJF76EOQ7HyhQROeqHkgJoNDw?authuser=0&hl=tr&rclk=1, Mustafa Kemal Cd.,TRUE,"Name: Inciden
link: https://www.google.com/maps/search/%C4%B0nciden/@40.959918699999996,29.082863000000003?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: Mayis Hukuk Burosu
link: https://www.google.com/maps/search/May%C4%B1s+Hukuk+B%C3%BCrosu/@40.994692199999996,29.0403222?authuser=0&hl=tr&entry=ttu
Reviews: 10 reviews

Name: Yuksel Attorneys at Law
link: https://www.google.com/maps/search/Y%C3%BCksel+Attorneys+at+Law/@40.96152730000001,29.078791600000002?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: Atik-Tarakci Hukuk ve Danismanlik
link: https://www.google.com/maps/search/Atik-Tarak%C3%A7%C4%B1+Hukuk+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.0107979,29.039161900000003?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: OKTAY LAW & CONSULTING
link: https://www.google.com/maps/search/OKTAY+LAW+%26+CONSULTING/@41.018361999999996,28.8611043?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews",dymhukuk.com,info@dymhukuk.com
ChIJAW16uTy6yhQRI6P8chtcpqQ,Imtilak Real Estate,Emlak Burosu,4.5,989.0,https://www.imtilak.net/,0507 400 09 00,"Imtilak Real Estate, MALL OF ISTANBUL ZIYA GOKALP MAH. SULEYMAN DEMIREL BULVARI 7E THE OFFICE BLOCK NO: 64, 34490 Basaksehir/Istanbul",https://www.google.com/maps/place/Imtilak+Real+Estate/data=!4m7!3m6!1s0x14caba3cb97a6d01:0xa4a65c1b72fca323!8m2!3d41.0640552!4d28.8064807!16s%2Fg%2F11bbww_mlv!19sChIJAW16uTy6yhQRI6P8chtcpqQ?authuser=0&hl=tr&rclk=1,Imtilak Real ,FALSE,"Name: Imtilak Group
link: https://www.google.com/maps/search/Imtilak+Group/@41.0644646,28.8058635?authuser=0&hl=tr&entry=ttu
Reviews: 1 reviews

Name: mulWk l`qry@ - shrk@ mulWk lltswyq l`qry
link: https://www.google.com/maps/search/%D9%85%D9%8F%D9%84%D8%A7%D9%91%D9%83+%D8%A7%D9%84%D8%B9%D9%82%D8%A7%D8%B1%D9%8A%D8%A9+-+%D8%B4%D8%B1%D9%83%D8%A9+%D9%85%D9%8F%D9%84%D8%A7%D9%91%D9%83+%D9%84%D9%84%D8%AA%D8%B3%D9%88%D9%8A%D9%82+%D8%A7%D9%84%D8%B9%D9%82%D8%A7%D8%B1%D9%8A/@41.0636538,28.809389799999998?authuser=0&hl=tr&entry=ttu
Reviews: 1 reviews

Name: dydn l`qry@ | `qrt sTnbwl trky
link: https://www.google.com/maps/search/%D8%AF%D9%8A%D8%AF%D9%86+%D8%A7%D9%84%D8%B9%D9%82%D8%A7%D8%B1%D9%8A%D8%A9+%7C+%D8%B9%D9%82%D8%A7%D8%B1%D8%A7%D8%AA+%D8%A5%D8%B3%D8%B7%D9%86%D8%A8%D9%88%D9%84+%D8%AA%D8%B1%D9%83%D9%8A%D8%A7/@41.0636613,28.8063288?authuser=0&hl=tr&entry=ttu
Reviews: 27 reviews

Name: Mersat Real estate | mrs@ l`qry@
link: https://www.google.com/maps/search/Mersat+Real+estate+%7C+%D9%85%D8%B1%D8%B3%D8%A7%D8%A9+%D8%A7%D9%84%D8%B9%D9%82%D8%A7%D8%B1%D9%8A%D8%A9/@41.0707877,28.809745699999997?authuser=0&hl=tr&entry=ttu
Reviews: 12 reviews

Name: MALL OF ISTANBUL KAMAR GROUP
link: https://www.google.com/maps/search/MALL+OF+%C4%B0STANBUL+KAMAR+GROUP/@41.0635693,28.8063716?authuser=0&hl=tr&entry=ttu
Reviews: 7 reviews",www.imtilak.net,info@imtilakglobal.ae
ChIJNUjFMC2jyhQRrj0NaKoVlI0,AXIS LAW CONSULTING llmHm@ wlstshrt lqnwny@ wm`mlt ljnsy@ ltrky@,Hukuk Burosu,5.0,634.0,http://axislawconsulting.com/,0530 311 24 44,"Kartaltepe, AXIS LAW CONSULTING llmHm@ wlstshrt lqnwny@ wm`mlt ljnsy@ ltrky@, Suvari Cd. Torkam E5 Rezidans D:2 blok ofis no 19, 34295 Kucukcekmece/Istanbul",https://www.google.com/maps/place/AX%C4%B0S+LAW+CONSULT%C4%B0NG+%D9%84%D9%84%D9%85%D8%AD%D8%A7%D9%85%D8%A7%D8%A9+%D9%88%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D9%82%D8%A7%D9%86%D9%88%D9%86%D9%8A%D8%A9+%D9%88%D9%85%D8%B9%D8%A7%D9%85%D9%84%D8%A7%D8%AA+%D8%A7%D9%84%D8%AC%D9%86%D8%B3%D9%8A%D8%A9+%D8%A7%D9%84%D8%AA%D8%B1%D9%83%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x14caa32d30c54835:0x8d9415aa680d3dae!8m2!3d40.9991992!4d28.7990228!16s%2Fg%2F11tjy5ybch!19sChIJNUjFMC2jyhQRrj0NaKoVlI0?authuser=0&hl=tr&rclk=1, Suvari Cd.,FALSE,"Name: Avukat Ferhat Kule
link: https://www.google.com/maps/search/Avukat+Ferhat+Kule/@40.999758199999995,28.799442599999995?authuser=0&hl=tr&entry=ttu
Reviews: 30 reviews

Name: Guven Yalim Hukuk Ve Dayanismanlik
link: https://www.google.com/maps/search/G%C3%BCven+Yal%C4%B1m+Hukuk+Ve+Dayan%C4%B1%C5%9Fmanl%C4%B1k/@41.0006209,28.7976309?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: KARAKECILI HUKUK & DANISMANLIK
link: https://www.google.com/maps/search/KARAKE%C3%87%C4%B0L%C4%B0+HUKUK+%26+DANI%C5%9EMANLIK/@41.0003619,28.797973300000002?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: Avukat Gokhan Yagmur | Bosanma Avukati | Ceza Avukati | Yabancilar Avukati | Gayrimenkul Avukati | Icra Avukati
link: https://www.google.com/maps/search/Avukat+G%C3%B6khan+Ya%C4%9Fmur+%7C+Bo%C5%9Fanma+Avukat%C4%B1+%7C+Ceza+Avukat%C4%B1+%7C+Yabanc%C4%B1lar+Avukat%C4%B1+%7C+Gayrimenkul+Avukat%C4%B1+%7C+%C4%B0cra+Avukat%C4%B1/@40.9995854,28.797159299999997?authuser=0&hl=tr&entry=ttu
Reviews: 88 reviews

Name: Ozsahin & Kocak Hukuk Burosu
link: https://www.google.com/maps/search/%C3%96z%C5%9Fahin+%26+Ko%C3%A7ak+Hukuk+B%C3%BCrosu/@41.004953799999996,28.7756105?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews",axislawconsulting.com,info@axislawconsulting.com
ChIJa9WPB5e5yhQRS6rpbbG9v6Q,Tac Translation & Notary Public Services - M. Barakat,Cevirmen,4.9,435.0,https://tactranslations.business.site/,,"Aksemsettin, Tac Translation & Notary Public Services - M. Barakat, OZALP APARTMANI, Sair Cem Sk. NO: 19 A, 34080 Fatih/Istanbul",https://www.google.com/maps/place/Tac+Translation+%26+Notary+Public+Services+-+M.+Barakat/data=!4m7!3m6!1s0x14cab997078fd56b:0xa4bfbdb16de9aa4b!8m2!3d41.0177184!4d28.9417444!16s%2Fg%2F1pzsj7rrq!19sChIJa9WPB5e5yhQRS6rpbbG9v6Q?authuser=0&hl=tr&rclk=1, Sair Cem Sk.,FALSE,"Name: Yeminli Tercume Translation
link: https://www.google.com/maps/search/Yeminli+Terc%C3%BCme+Translation/@41.0171722,28.9426779?authuser=0&hl=tr&entry=ttu
Reviews: 1 reviews

Name: shrk@ msr llkhdmt lqnwny@ w ltrjm@
link: https://www.google.com/maps/search/%D8%B4%D8%B1%D9%83%D8%A9+%D9%85%D8%B3%D8%A7%D8%B1+%D9%84%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA+%D8%A7%D9%84%D9%82%D8%A7%D9%86%D9%88%D9%86%D9%8A%D8%A9+%D9%88+%D8%A7%D9%84%D8%AA%D8%B1%D8%AC%D9%85%D8%A9/@41.022135999999996,28.934963699999997?authuser=0&hl=tr&entry=ttu
Reviews: 52 reviews

Name: Turkish Translation Office
link: https://www.google.com/maps/search/Turkish+Translation+Office/@41.071327,29.010851000000002?authuser=0&hl=tr&entry=ttu
Reviews: 17 reviews

Name: Start Tercume
link: https://www.google.com/maps/search/Start+Terc%C3%BCme/@41.0097422,28.9590218?authuser=0&hl=tr&entry=ttu
Reviews: 2 reviews

Name: Notary Translation And Consultancy
link: https://www.google.com/maps/search/Notary+Translation+And+Consultancy/@41.1094051,29.0220406?authuser=0&hl=tr&entry=ttu
Reviews: 2 reviews",tactranslations.business.site,
ChIJyd1UcCi6yhQRO9er1Lc0TNg,Hasan Erkmen Mali Musavir SMMM,Serbest Muhasebeci Mali Musavir,5.0,349.0,http://www.hasanerkmen.com/,0537 300 82 89,"Hirka-i Serif, Hasan Erkmen Mali Musavir SMMM, Balipasa Cd No: 172 D:8, 34200 Fatih/Istanbul",https://www.google.com/maps/place/Hasan+Erkmen+Mali+M%C3%BC%C5%9Favir+SMMM/data=!4m7!3m6!1s0x14caba287054ddc9:0xd84c34b7d4abd73b!8m2!3d41.0213333!4d28.9413171!16s%2Fg%2F11ggnh6nz6!19sChIJyd1UcCi6yhQRO9er1Lc0TNg?authuser=0&hl=tr&rclk=1, Balipasa Cd,FALSE,"Name: Serbest Muhasebeci Mali Musavir Hasan OZCAN
link: https://www.google.com/maps/search/Serbest+Muhasebeci+Mali+M%C3%BC%C5%9Favir+Hasan+%C3%96ZCAN/@41.017648,28.942728100000004?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: Emir muhasebe
link: https://www.google.com/maps/search/Emir+muhasebe/@41.025782799999995,28.9349912?authuser=0&hl=tr&entry=ttu
Reviews: 5 reviews

Name: Serbest Muhasebeci Mali Musavir Emre Murat Cakir
link: https://www.google.com/maps/search/Serbest+Muhasebeci+Mali+M%C3%BC%C5%9Favir+Emre+Murat+%C3%87ak%C4%B1r/@41.008380599999995,28.9633823?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: Yonar Muhasebe Burosu
link: https://www.google.com/maps/search/Yonar+Muhasebe+Burosu/@41.027837399999996,28.9403303?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: Hasan ali Karacal
link: https://www.google.com/maps/search/Hasan+ali+Kara%C3%A7al/@41.0172953,28.9421463?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews",www.hasanerkmen.com,
ChIJE-p2VF22yhQRzY41wjPxSmM,Lexist Avukatlik Burosu,Avukatlik Danisma Hizmeti,4.1,329.0,https://www.lexist.com.tr/,(0212) 270 00 04,"Lexist Avukatlik Burosu, Buyukdere Cad. Bahar Sok. River Plaza No: 13 Kat: 22 River Plaza, 34330 Besiktas",https://www.google.com/maps/place/Lexist+Avukatl%C4%B1k+B%C3%BCrosu/data=!4m7!3m6!1s0x14cab65d5476ea13:0x634af133c2358ecd!8m2!3d41.077195!4d29.009306!16s%2Fg%2F1q62gkwsl!19sChIJE-p2VF22yhQRzY41wjPxSmM?authuser=0&hl=tr&rclk=1, Buyukdere Cad,FALSE,"Name: Lex Hukuk
link: https://www.google.com/maps/search/Lex+Hukuk/@41.0808362,29.013109399999998?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: Karakaya Avukatlik Ofisi
link: https://www.google.com/maps/search/Karakaya+Avukatl%C4%B1k+Ofisi/@41.058875,29.014417999999996?authuser=0&hl=tr&entry=ttu
Reviews: 16 reviews

Name: Allen & Overy Danismanlik Hizmetleri Avukatlik Ortakligi
link: https://www.google.com/maps/search/Allen+%26+Overy+Dan%C4%B1%C5%9Fmanl%C4%B1k+Hizmetleri+Avukatl%C4%B1k+Ortakl%C4%B1%C4%9F%C4%B1/@41.077121999999996,29.009226?authuser=0&hl=tr&entry=ttu
Reviews: 2 reviews

Name: Serbest Hukuk Avukatlik Arabuluculuk Tahkim Burosu
link: https://www.google.com/maps/search/Serbest+Hukuk+Avukatl%C4%B1k+Arabuluculuk+Tahkim+B%C3%BCrosu/@41.0796533,29.0111048?authuser=0&hl=tr&entry=ttu
Reviews: 302 reviews

Name: Tuna & Tuncer Hukuk ve Danismanlik Burosu
link: https://www.google.com/maps/search/Tuna+%26+Tuncer+Hukuk+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k+B%C3%BCrosu/@41.077557,29.014945?authuser=0&hl=tr&entry=ttu
Reviews: 8 reviews",www.lexist.com.tr,
ChIJnzvma4_PyhQReBbz1DVqbVU,SANCAKTEPE AVUKAT SELVER AKKOYUN KORKMAZ | GOKHAN HUKUK & DANISMANLIK,Hukuk Burosu,5.0,326.0,http://www.selverakkoyunkorkmaz.av.tr/,0532 641 47 40,"Abdurrahmangazi, SANCAKTEPE AVUKAT SELVER AKKOYUN KORKMAZ | GOKHAN HUKUK & DANISMANLIK, Bennur Sk. No:3/1, 34887 Sancaktepe/Istanbul",https://www.google.com/maps/place/SANCAKTEPE+AVUKAT+SELVER+AKKOYUN+KORKMAZ+%7C+G%C3%96KHAN+HUKUK+%26+DANI%C5%9EMANLIK/data=!4m7!3m6!1s0x14cacf8f6be63b9f:0x556d6a35d4f31678!8m2!3d40.992596!4d29.231995!16s%2Fg%2F11g6x256n8!19sChIJnzvma4_PyhQReBbz1DVqbVU?authuser=0&hl=tr&rclk=1, Bennur Sk.,FALSE,"Name: Durmaz Hukuk Burosu Sancaktepe | Avukat Eyup Durmaz
link: https://www.google.com/maps/search/Durmaz+Hukuk+B%C3%BCrosu+Sancaktepe+%7C+Avukat+Ey%C3%BCp+Durmaz/@41.0089626,29.241324999999996?authuser=0&hl=tr&entry=ttu
Reviews: 30 reviews

Name: KAFKAS HUKUK MUSAVIRLIGI
link: https://www.google.com/maps/search/KAFKAS+HUKUK+M%C3%9C%C5%9EAV%C4%B0RL%C4%B0%C4%9E%C4%B0/@40.992776,29.232661?authuser=0&hl=tr&entry=ttu
Reviews: 9 reviews

Name: Aysen Baykan Hukuk Burosu
link: https://www.google.com/maps/search/Ay%C5%9Fen+Baykan+Hukuk+B%C3%BCrosu/@40.972739,29.2403756?authuser=0&hl=tr&entry=ttu
Reviews: 36 reviews

Name: Anka Hukuk Danismanlik
link: https://www.google.com/maps/search/Anka+Hukuk+Dani%C5%9Fmanlik/@41.0056594,29.2161447?authuser=0&hl=tr&entry=ttu
Reviews: 9 reviews

Name: Korkmaz Hukuk Burosu
link: https://www.google.com/maps/search/Korkmaz+Hukuk+B%C3%BCrosu/@40.997943400000004,29.1357959?authuser=0&hl=tr&entry=ttu
Reviews: 1 reviews",www.selverakkoyunkorkmaz.av.tr,info@selverakkoyunkorkmaz.av.tr
ChIJo4B7Bp-zyhQRFyuAYOv0iOs,Serbest Hukuk Avukatlik Arabuluculuk Tahkim Burosu,Hukuk Burosu,5.0,302.0,http://www.serbest.av.tr/,0545 600 22 18,"Buyukdere, Serbest Hukuk Avukatlik Arabuluculuk Tahkim Burosu, Levent Mahallesi, Buyukdere Caddesi, 193 Plaza No:193/2, 34330 Sisli/Istanbul",https://www.google.com/maps/place/Serbest+Hukuk+Avukatl%C4%B1k+Arabuluculuk+Tahkim+B%C3%BCrosu/data=!4m7!3m6!1s0x14cab39f067b80a3:0xeb88f4eb60802b17!8m2!3d41.0796533!4d29.0111048!16s%2Fg%2F11l8776g6h!19sChIJo4B7Bp-zyhQRFyuAYOv0iOs?authuser=0&hl=tr&rclk=1, Buyukdere Caddesi,FALSE,"Name: ASR Hukuk & Danismanlik
link: https://www.google.com/maps/search/ASR+Hukuk+%26+Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.079307400000005,29.011320599999998?authuser=0&hl=tr&entry=ttu
Reviews: 12 reviews

Name: HUKUK & DANISMANLIK BUROSU
link: https://www.google.com/maps/search/HUKUK+%26+DANI%C5%9EMANLIK+B%C3%9CROSU/@41.065379199999995,28.996112599999996?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: Erdal Law
link: https://www.google.com/maps/search/Erdal+Law/@41.0857045,29.020005599999994?authuser=0&hl=tr&entry=ttu
Reviews: 1 reviews

Name: Gumussuyu Hukuk Burosu
link: https://www.google.com/maps/search/G%C3%BCm%C3%BC%C5%9Fsuyu+Hukuk+B%C3%BCrosu/@41.0705317,29.0147876?authuser=0&hl=tr&entry=ttu
Reviews: 2 reviews

Name: Baysal & Demir Law Firm
link: https://www.google.com/maps/search/Baysal+%26+Demir+Law+Firm/@41.080805,29.010371?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews",www.serbest.av.tr,
ChIJhWwKCGm4yhQRgyy-vot05OQ,Temyiz Hukuk,Dijital Baski Merkezi,4.0,298.0,http://www.temyizkitap.com/,(0216) 541 00 42,"Temyiz Hukuk, Marmara Universitesi Goztepe Yerleskesi C Arka Cikis Kapisi Karsisi, Fikirtepe Pirlanta Sitesi Bahtli Sokak NO:46 D:J, A BLOK, 34764 Kadikoy/Istanbul",https://www.google.com/maps/place/Temyiz+Hukuk/data=!4m7!3m6!1s0x14cab869080a6c85:0xe4e4748bbebe2c83!8m2!3d40.9900621!4d29.0548032!16s%2Fg%2F11dxjwtw10!19sChIJhWwKCGm4yhQRgyy-vot05OQ?authuser=0&hl=tr&rclk=1, Fikirtepe Pirlanta Sitesi Bahtli Sokak,FALSE,"Name: Tuna Ozkan Ecertas Hukuk&Danismanlik
link: https://www.google.com/maps/search/Tuna+%C3%96zkan+Ecerta%C5%9F+Hukuk%26Dan%C4%B1%C5%9Fmanl%C4%B1k/@40.9960422,29.0540523?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: Ilikay Hukuk Burosu
link: https://www.google.com/maps/search/%C4%B0likay+Hukuk+B%C3%BCrosu/@40.996525,29.0544467?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: ATAM Altay Tahkim Arabuluculuk ve Hukuk Burosu
link: https://www.google.com/maps/search/ATAM+Altay+Tahkim+Arabuluculuk+ve+Hukuk+B%C3%BCrosu/@40.9842035,29.0564024?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: Av. Ismail Altay / Altay Tahkim ve Hukuk Burosu
link: https://www.google.com/maps/search/Av.+%C4%B0smail+Altay+%2F+Altay+Tahkim+ve+Hukuk+B%C3%BCrosu/@40.9842035,29.0564024?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews",www.temyizkitap.com,
