place_id,name,main_category,rating,reviews,website,phone,address,link,is_spending_on_ads,competitors
ChIJZb0NanC3yhQRf5FKmoU2fqs,IBB Ataturk Kitapligi,Kutuphane,4.1,711,https://ataturkkitapligi.ibb.gov.tr/tr/Anasayfa,(0212) 249 09 45,"Gumussuyu, IBB Ataturk Kitapligi, Miralay Sefikbey Sk. No:6, 34437 Beyoglu/Istanbul",https://www.google.com/maps/place/%C4%B0BB+Atat%C3%BCrk+Kitapl%C4%B1%C4%9F%C4%B1/data=!4m7!3m6!1s0x14cab7706a0dbd65:0xab7e36859a4a917f!8m2!3d41.0391249!4d28.9895638!16s%2Fg%2F1tnmbzm1!19sChIJZb0NanC3yhQRf5FKmoU2fqs?authuser=0&hl=tr&rclk=1,False,"Name: Beyoglu Belediyesi Turabi Baba Kutuphanesi
link: https://www.google.com/maps/search/Beyo%C4%9Flu+Belediyesi+Turabi+Baba+K%C3%BCt%C3%BCphanesi/@41.032056999999995,28.966506?authuser=0&hl=tr&entry=ttu
Reviews: 119 reviews

Name: Kutuphane Ve Muzeler Mudurlugu
link: https://www.google.com/maps/search/K%C3%BCt%C3%BCphane+Ve+M%C3%BCzeler+M%C3%BCd%C3%BCrl%C3%BC%C4%9F%C3%BC/@41.038861999999995,28.988941999999998?authuser=0&hl=tr&entry=ttu
Reviews: 4 reviews

Name: Sevgi Soysal Kutuphane ve Kultur Evi
link: https://www.google.com/maps/search/Sevgi+Soysal+K%C3%BCt%C3%BCphane+ve+K%C3%BClt%C3%BCr+Evi/@41.0395769,28.985671299999996?authuser=0&hl=tr&entry=ttu
Reviews: 31 reviews

Name: Turk Eskicag Bilimleri Enstitusu Kutuphanesi
link: https://www.google.com/maps/search/T%C3%BCrk+Eski%C3%A7a%C4%9F+Bilimleri+Enstit%C3%BCs%C3%BC+K%C3%BCt%C3%BCphanesi/@41.031948,28.976326999999998?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: Orhan Kemal Il Halk Kutuphanesi
link: https://www.google.com/maps/search/Orhan+Kemal+%C4%B0l+Halk+K%C3%BCt%C3%BCphanesi/@41.009192899999995,28.962333500000003?authuser=0&hl=tr&entry=ttu
Reviews: 231 reviews"
ChIJxYmZHeO5yhQRnUrew-MbPZw,Beyoglu Belediyesi Turabi Baba Kutuphanesi,Kutuphane,4.3,119,http://kutuphane.beyoglu.bel.tr/,(0212) 361 33 14,"Camii Kebir Mahallesi, Beyoglu Belediyesi Turabi Baba Kutuphanesi, Turabibaba Caddesi, Matbaa Arkasi Sokak No:2, 34440 Beyoglu/Istanbul",https://www.google.com/maps/place/Beyo%C4%9Flu+Belediyesi+Turabi+Baba+K%C3%BCt%C3%BCphanesi/data=!4m7!3m6!1s0x14cab9e31d9989c5:0x9c3d1be3c3de4a9d!8m2!3d41.032057!4d28.966506!16s%2Fg%2F1tjgxpmz!19sChIJxYmZHeO5yhQRnUrew-MbPZw?authuser=0&hl=tr&rclk=1,False,"Name: IBB Ataturk Kitapligi
link: https://www.google.com/maps/search/%C4%B0BB+Atat%C3%BCrk+Kitapl%C4%B1%C4%9F%C4%B1/@41.0391249,28.989563800000003?authuser=0&hl=tr&entry=ttu
Reviews: 710 reviews

Name: Fatih Belediyesi Topkapi Kutuphanesi
link: https://www.google.com/maps/search/Fatih+Belediyesi+Topkap%C4%B1+K%C3%BCt%C3%BCphanesi/@41.0195171,28.9252759?authuser=0&hl=tr&entry=ttu
Reviews: 294 reviews

Name: Beyazit Devlet Kutuphanesi
link: https://www.google.com/maps/search/Beyaz%C4%B1t+Devlet+K%C3%BCt%C3%BCphanesi/@41.011083299999996,28.9654934?authuser=0&hl=tr&entry=ttu
Reviews: 472 reviews

Name: Ebru Library
link: https://www.google.com/maps/search/Ebru+Library/@41.029936,28.973821999999995?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: Bogazici Universitesi Kutuphanesi
link: https://www.google.com/maps/search/Bo%C4%9Fazi%C3%A7i+%C3%9Cniversitesi+K%C3%BCt%C3%BCphanesi/@41.0854834,29.044253400000002?authuser=0&hl=tr&entry=ttu
Reviews: 151 reviews"
ChIJtR-1OOK3yhQRdpIIVFgie3A,Vitali Hakko Kreatif Endustriler Kutuphanesi,Kutuphane,4.8,37,http://www.vakko.com/,(0216) 554 07 00,"Gumussuyu, Vitali Hakko Kreatif Endustriler Kutuphanesi, AKM, Mete Cd. No: 2, 34437 Beyoglu/Istanbul",https://www.google.com/maps/place/Vitali+Hakko+Kreatif+End%C3%BCstriler+K%C3%BCt%C3%BCphanesi/data=!4m7!3m6!1s0x14cab7e238b51fb5:0x707b225854089276!8m2!3d41.0367069!4d28.9876663!16s%2Fg%2F1pv1vrmgp!19sChIJtR-1OOK3yhQRdpIIVFgie3A?authuser=0&hl=tr&rclk=1,False,"Name: IBB Ataturk Kitapligi
link: https://www.google.com/maps/search/%C4%B0BB+Atat%C3%BCrk+Kitapl%C4%B1%C4%9F%C4%B1/@41.0391249,28.989563800000003?authuser=0&hl=tr&entry=ttu
Reviews: 710 reviews

Name: Ebru Library
link: https://www.google.com/maps/search/Ebru+Library/@41.029936,28.973821999999995?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: Beyoglu Belediyesi Turabi Baba Kutuphanesi
link: https://www.google.com/maps/search/Beyo%C4%9Flu+Belediyesi+Turabi+Baba+K%C3%BCt%C3%BCphanesi/@41.032056999999995,28.966506?authuser=0&hl=tr&entry=ttu
Reviews: 119 reviews

Name: Turk Eskicag Bilimleri Enstitusu Kutuphanesi
link: https://www.google.com/maps/search/T%C3%BCrk+Eski%C3%A7a%C4%9F+Bilimleri+Enstit%C3%BCs%C3%BC+K%C3%BCt%C3%BCphanesi/@41.031948,28.976326999999998?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews"
ChIJYcmaWpC3yhQRzp8f1KORCUw,Sevgi Soysal Kutuphane ve Kultur Evi,Kutuphane,3.2,31,http://ataturkkitapligi.ibb.gov.tr/ataturkkitapligi/index.php%3Fdil%3Dtr%26p%3D2,(0212) 249 95 65,"Kocatepe, Sevgi Soysal Kutuphane ve Kultur Evi, Recep Pasa Cd. No:3, 34437 Beyoglu/Istanbul",https://www.google.com/maps/place/Sevgi+Soysal+K%C3%BCt%C3%BCphane+ve+K%C3%BClt%C3%BCr+Evi/data=!4m7!3m6!1s0x14cab7905a9ac961:0x4c0991a3d41f9fce!8m2!3d41.0395769!4d28.9856713!16s%2Fg%2F11s7s5q6h2!19sChIJYcmaWpC3yhQRzp8f1KORCUw?authuser=0&hl=tr&rclk=1,False,"Name: Kutuphane Ve Muzeler Mudurlugu
link: https://www.google.com/maps/search/K%C3%BCt%C3%BCphane+Ve+M%C3%BCzeler+M%C3%BCd%C3%BCrl%C3%BC%C4%9F%C3%BC/@41.038861999999995,28.988941999999998?authuser=0&hl=tr&entry=ttu
Reviews: 4 reviews

Name: Sevgi Sosyal Kutuphanesi
link: https://www.google.com/maps/search/Sevgi+Sosyal+K%C3%BCt%C3%BCphanesi/@41.0394929,28.985597?authuser=0&hl=tr&entry=ttu
Reviews: 10 reviews

Name: Turk Eskicag Bilimleri Enstitusu Kutuphanesi
link: https://www.google.com/maps/search/T%C3%BCrk+Eski%C3%A7a%C4%9F+Bilimleri+Enstit%C3%BCs%C3%BC+K%C3%BCt%C3%BCphanesi/@41.031948,28.976326999999998?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: Fatih Belediyesi Fatih Merkez Kutuphanesi
link: https://www.google.com/maps/search/Fatih+Belediyesi+Fatih+Merkez+K%C3%BCt%C3%BCphanesi/@41.0176455,28.9404256?authuser=0&hl=tr&entry=ttu
Reviews: 749 reviews"
ChIJJxu9hWe5yhQRyCAC7TxupUY,IBB Peyami Safa Kutuphanesi,Halk Kutuphanesi,4.3,17,http://ataturkkitapligi.ibb.gov.tr/,(0212) 249 09 45,"Yahya Kahya, IBB Peyami Safa Kutuphanesi, Bahriye Cd. No:24, 34440 Beyoglu/Istanbul",https://www.google.com/maps/place/%C4%B0BB+Peyami+Safa+K%C3%BCt%C3%BCphanesi/data=!4m7!3m6!1s0x14cab96785bd1b27:0x46a56e3ced0220c8!8m2!3d41.0334078!4d28.9694435!16s%2Fg%2F11tfk8nspd!19sChIJJxu9hWe5yhQRyCAC7TxupUY?authuser=0&hl=tr&rclk=1,False,"Name: Beyoglu Belediyesi Turabi Baba Kutuphanesi
link: https://www.google.com/maps/search/Beyo%C4%9Flu+Belediyesi+Turabi+Baba+K%C3%BCt%C3%BCphanesi/@41.032056999999995,28.966506?authuser=0&hl=tr&entry=ttu
Reviews: 119 reviews

Name: Sevgi Soysal Kutuphane ve Kultur Evi
link: https://www.google.com/maps/search/Sevgi+Soysal+K%C3%BCt%C3%BCphane+ve+K%C3%BClt%C3%BCr+Evi/@41.0395769,28.985671299999996?authuser=0&hl=tr&entry=ttu
Reviews: 31 reviews

Name: Ebru Library
link: https://www.google.com/maps/search/Ebru+Library/@41.029936,28.973821999999995?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: MuHaBBet
link: https://www.google.com/maps/search/MuHaBBet/@41.032837699999995,28.9669047?authuser=0&hl=tr&entry=ttu
Reviews: 1 reviews"
ChIJrVF3bWC3yhQR403OS3Ew8kc,Yapi Kredi Arastirma Kutuphanesi,Kutuphane,5,9,http://sanat.ykykultur.com.tr/kutuphane,(0212) 252 47 00,"Tomtom, Yapi Kredi Arastirma Kutuphanesi, Istiklal Cd. No:161 Kat:5, 34433 Beyoglu/Istanbul",https://www.google.com/maps/place/Yap%C4%B1+Kredi+Ara%C5%9Ft%C4%B1rma+K%C3%BCt%C3%BCphanesi/data=!4m7!3m6!1s0x14cab7606d7751ad:0x47f230714bce4de3!8m2!3d41.0331311!4d28.9769273!16s%2Fg%2F11hbntnjhn!19sChIJrVF3bWC3yhQR403OS3Ew8kc?authuser=0&hl=tr&rclk=1,False,"Name: Ebru Library
link: https://www.google.com/maps/search/Ebru+Library/@41.029936,28.973821999999995?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: Turk Eskicag Bilimleri Enstitusu Kutuphanesi
link: https://www.google.com/maps/search/T%C3%BCrk+Eski%C3%A7a%C4%9F+Bilimleri+Enstit%C3%BCs%C3%BC+K%C3%BCt%C3%BCphanesi/@41.031948,28.976326999999998?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: IBB Peyami Safa Kutuphanesi
link: https://www.google.com/maps/search/%C4%B0BB+Peyami+Safa+K%C3%BCt%C3%BCphanesi/@41.0334078,28.969443499999997?authuser=0&hl=tr&entry=ttu
Reviews: 17 reviews

Name: Beyoglu Belediyesi Turabi Baba Kutuphanesi
link: https://www.google.com/maps/search/Beyo%C4%9Flu+Belediyesi+Turabi+Baba+K%C3%BCt%C3%BCphanesi/@41.032056999999995,28.966506?authuser=0&hl=tr&entry=ttu
Reviews: 119 reviews

Name: Vitali Hakko Kreatif Endustriler Kutuphanesi
link: https://www.google.com/maps/search/Vitali+Hakko+Kreatif+End%C3%BCstriler+K%C3%BCt%C3%BCphanesi/@41.0367069,28.987666299999997?authuser=0&hl=tr&entry=ttu
Reviews: 37 reviews"
ChIJ4yqf7GK3yhQRDPKWIYHh2PE,Orient-Institut Istanbul,Kutuphane,5,4,http://www.oiist.org/,(0212) 293 60 67,"Cihangir, Orient-Institut Istanbul, Susam Sk. No:16 D:8, 34433 Beyoglu/Istanbul",https://www.google.com/maps/place/Orient-Institut+Istanbul/data=!4m7!3m6!1s0x14cab762ec9f2ae3:0xf1d8e1812196f20c!8m2!3d41.0305615!4d28.9858456!16s%2Fg%2F124xvxhj1!19sChIJ4yqf7GK3yhQRDPKWIYHh2PE?authuser=0&hl=tr&rclk=1,False,"Name: Beyoglu Belediyesi Turabi Baba Kutuphanesi
link: https://www.google.com/maps/search/Beyo%C4%9Flu+Belediyesi+Turabi+Baba+K%C3%BCt%C3%BCphanesi/@41.032056999999995,28.966506?authuser=0&hl=tr&entry=ttu
Reviews: 119 reviews

Name: Ebru Library
link: https://www.google.com/maps/search/Ebru+Library/@41.029936,28.973821999999995?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: Tophane-i Amire Kultur ve Sanat Merkezi
link: https://www.google.com/maps/search/Tophane-i+%C3%82mire+K%C3%BClt%C3%BCr+ve+Sanat+Merkezi/@41.0274899,28.980946?authuser=0&hl=tr&entry=ttu
Reviews: 614 reviews

Name: IBB Ataturk Kitapligi
link: https://www.google.com/maps/search/%C4%B0BB+Atat%C3%BCrk+Kitapl%C4%B1%C4%9F%C4%B1/@41.0391249,28.989563800000003?authuser=0&hl=tr&entry=ttu
Reviews: 710 reviews"
ChIJH0ae_9-5yhQRt_KrTJCYkYk,Turk Eskicag Bilimleri Enstitusu Kutuphanesi,Kutuphane,,,http://turkinst.org/,(0212) 393 60 00,"Istiklal, Turk Eskicag Bilimleri Enstitusu Kutuphanesi, Istiklal Cad. Merkez Han No:181, 34433 Beyoglu/Istanbul",https://www.google.com/maps/place/T%C3%BCrk+Eski%C3%A7a%C4%9F+Bilimleri+Enstit%C3%BCs%C3%BC+K%C3%BCt%C3%BCphanesi/data=!4m7!3m6!1s0x14cab9dfff9e461f:0x899198904cabf2b7!8m2!3d41.031948!4d28.976327!16s%2Fg%2F11b6jh80jx!19sChIJH0ae_9-5yhQRt_KrTJCYkYk?authuser=0&hl=tr&rclk=1,False,"Name: IBB Ataturk Kitapligi
link: https://www.google.com/maps/search/%C4%B0BB+Atat%C3%BCrk+Kitapl%C4%B1%C4%9F%C4%B1/@41.0391249,28.989563800000003?authuser=0&hl=tr&entry=ttu
Reviews: 710 reviews

Name: Ebru Library
link: https://www.google.com/maps/search/Ebru+Library/@41.029936,28.973821999999995?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: Vitali Hakko Kreatif Endustriler Kutuphanesi
link: https://www.google.com/maps/search/Vitali+Hakko+Kreatif+End%C3%BCstriler+K%C3%BCt%C3%BCphanesi/@41.0367069,28.987666299999997?authuser=0&hl=tr&entry=ttu
Reviews: 37 reviews

Name: Isvec Arastirma Enstitusu
link: https://www.google.com/maps/search/%C4%B0sve%C3%A7+Ara%C5%9Ft%C4%B1rma+Enstit%C3%BCs%C3%BC/@41.0290041,28.975390500000003?authuser=0&hl=tr&entry=ttu
Reviews: 3 reviews"
ChIJx4_P8Za5yhQRdPNR2sZjmU8,Koprulu Kutuphanesi,Kutuphane,4.4,38,,(0212) 516 83 13,"Binbirdirek, Koprulu Kutuphanesi, No:29, Divan Yolu Cd., 34122 Fatih/Istanbul",https://www.google.com/maps/place/K%C3%B6pr%C3%BCl%C3%BC+K%C3%BCt%C3%BCphanesi/data=!4m7!3m6!1s0x14cab996f1cf8fc7:0x4f9963c6da51f374!8m2!3d41.008122!4d28.9725059!16s%2Fg%2F121k2my2!19sChIJx4_P8Za5yhQRdPNR2sZjmU8?authuser=0&hl=tr&rclk=1,False,"Name: III. Ahmed Kutuphanesi
link: https://www.google.com/maps/search/III.+Ahmed+K%C3%BCt%C3%BCphanesi/@41.0129887,28.9845869?authuser=0&hl=tr&entry=ttu
Reviews: 25 reviews

Name: Beyazit Devlet Kutuphanesi
link: https://www.google.com/maps/search/Beyaz%C4%B1t+Devlet+K%C3%BCt%C3%BCphanesi/@41.011083299999996,28.9654934?authuser=0&hl=tr&entry=ttu
Reviews: 472 reviews

Name: Fatih Belediyesi Kadirga Kutuphanesi
link: https://www.google.com/maps/search/Fatih+Belediyesi+Kad%C4%B1rga+K%C3%BCt%C3%BCphanesi/@41.0046743,28.9676065?authuser=0&hl=tr&entry=ttu
Reviews: 91 reviews

Name: Orhan Kemal Il Halk Kutuphanesi
link: https://www.google.com/maps/search/Orhan+Kemal+%C4%B0l+Halk+K%C3%BCt%C3%BCphanesi/@41.009192899999995,28.962333500000003?authuser=0&hl=tr&entry=ttu
Reviews: 231 reviews"
ChIJHbXg3nG5yhQRQ3B5QE3CEmg,Istiklal Millet Kutuphanesi,Kutuphane,4.6,18,,,"Sahkulu, Istiklal Millet Kutuphanesi, Mesrutiyet Cd. No:121, 34430 Beyoglu/Istanbul",https://www.google.com/maps/place/%C4%B0stiklal+Millet+K%C3%BCt%C3%BCphanesi/data=!4m7!3m6!1s0x14cab971dee0b51d:0x6812c24d40797043!8m2!3d41.0282288!4d28.9733884!16s%2Fg%2F11sbgydry3!19sChIJHbXg3nG5yhQRQ3B5QE3CEmg?authuser=0&hl=tr&rclk=1,False,"Name: Beyoglu Belediyesi Turabi Baba Kutuphanesi
link: https://www.google.com/maps/search/Beyo%C4%9Flu+Belediyesi+Turabi+Baba+K%C3%BCt%C3%BCphanesi/@41.032056999999995,28.966506?authuser=0&hl=tr&entry=ttu
Reviews: 119 reviews

Name: Millet Yazma Eser Kutuphanesi
link: https://www.google.com/maps/search/Millet+Yazma+Eser+K%C3%BCt%C3%BCphanesi/@41.016993899999996,28.949849399999998?authuser=0&hl=tr&entry=ttu
Reviews: 76 reviews

Name: Ebru Library
link: https://www.google.com/maps/search/Ebru+Library/@41.029936,28.973821999999995?authuser=0&hl=tr&entry=ttu
Reviews: 0 reviews

Name: IBB Ataturk Kitapligi
link: https://www.google.com/maps/search/%C4%B0BB+Atat%C3%BCrk+Kitapl%C4%B1%C4%9F%C4%B1/@41.0391249,28.989563800000003?authuser=0&hl=tr&entry=ttu
Reviews: 710 reviews

Name: MuHaBBet
link: https://www.google.com/maps/search/MuHaBBet/@41.032837699999995,28.9669047?authuser=0&hl=tr&entry=ttu
Reviews: 1 reviews"
